足球是人民体育出版社出版的图书作者是何永超著1	足球是人民体育出版社出版的图书作者是何永超著1
学校英语School是指教育者有计划有组织地对受教育者进行系统的教育活动的组织机构名称起源于民国学校是由专职人员和专门机构承担的有目的有系统有组织的有计划的以影响受教育学校教育者的身心发展为直接目标并最终使受教育者的身心发展达到预定目的的社会活动学校教育指受教育者在各类学校内所接受的各种教育是教育制度的重要组成部分学校教育的具体活动受到社会需求影响必须符合社会发展趋势承担着对社会输送人才的职能一般说来学校教育包括学前教育初等教育中等教育和高等教育学校主要分为五种幼儿园小学初中高中和大学2016年全国共有各级各类学校512万所全国各级各类学校拥有校舍建筑面积总量达326亿平方米1截至2021年全国共有各级各类学校5371万所比上年增加070万所增长133各级各类学历教育在校生289亿人比上年增加67448万人增长239专任教师179297万人比上年增加6094万人增长3523截至2020年全国高等学校共计3005所其中普通高等学校2740所含本科院校1258所高职大专院校1482所成人高等学校265所本名单未包含港澳台地区高等学校2	中心汉语词汇拼音是zhngxn本义为与四周距离相等的位置常用来指在某一方面占重要地位的城市或地区也指具有某一特定主导功能的大型建筑物群1比如非常出名的日心说它认为太阳是太阳系的中心而不是地球当表示建筑物时应当具有某一特定主导功能占地面积在2万平方米以上且建筑面积在20万平方米以上须在通名前增加表示主导用途的词语1如某市国际XX中心
灾难汉语词汇拼音zinn释义为灾祸苦难灾难分为人为造成的和自然造成两种情况自然的严重损害带来对生命的重大伤害	足以把与一种现象相关或一个特殊条件影响所涉及的所有特征包含在内的足够大的一个地理区域1引自DLT520932010核电厂工程勘测技术规程第3部分水文气象
维护是指维以护之免受外害比如将人群居住地周围蓄养牲畜的周围以及其他重要物体场所周围设置带有保护性的设施以防止外界的侵害维护也为通信术语之一	世界world广义上来讲就是指全部所有一切一般来讲世界指的是人类赖以生存的地球世界还代称的有天地天下此岸世间万物世上等世界也可解释由可感知的不可感知的客观存在的总和以及用于描述客观存在及其相互关系的概念总和客观存在是不以人或其他物意志转移而存在的世界由概念世界和物质世界组成概念世界包含所有生命对客观世界的认知以及为记录认知而存在的事物的总和
白天男汉族1957年5月出生山西平定人1974年2月参加工作1986年6月加入中国共产党大学学历现任吕梁市发改委总经济师	夏天男汉族1978年5月生吉林九台人2003年11月参加工作1996年4月入党研究生学历经济学硕士学位现任共青团黑龙江省委副书记1
偏见是2019年人民文学出版社出版的图书1	认知是2019年中国人口出版社出版的图书1
联邦调查局是一本都市小说作者是罗尘1	指纹本名韩冰北京人律师1系网剧白夜追凶编剧2庭外编剧13重生编剧11
气氛读音qfn汉语词语意思是特定环境中给人强烈感觉的景象或情调表现热烈气氛的四字词语有欢欢喜喜兴高采烈兴致勃勃欢呼雀跃欢欣鼓舞喜上眉梢眉开眼笑欢聚一堂	景观一般意义上是指一定区域呈现的景象即视觉效果这种视觉效果反映了土地及土地上的空间和物质所构成的综合体是复杂的自然过程和人类活动在大地上的烙印生态学上景观是指由相互作用的拼块或生态系统组成以相似的形式重复出现的一个空间异质性区域是具有分类含义的自然综合体俄国地理学家把生物和非生物的现象都作为景观的组成部分这也为地理学与生态学的融合交叉打下了基础中国大百科全书地理学1990概括了地理学中对景观的几种理解某一区域的综合特征包括自然经济文化诸方面一般自然综合体区域单位相当于综合自然区划等级系统中最小的一级自然区任何区域单位
剧院是任大卫的一首诗歌收录于诗集火车和其他	历史是谭剑飞创作的一首现代诗歌
总统指统领晚清新官名	奖章拼音jingzhng是授予有功人员比赛成绩优异等的徽章
对于判例必须分别来看在民法法系判例是非正式的法律渊源除了个别情况外理论上不承认判例具有约束力在普通法法系判例是正式的法律渊源即判例法公共政策是有关必须达到集体目的或目标的一种政治决定这种决定一般来说旨在改善经济政治或者社会的境况或旨在促进整个社会的某种集体目标的实现事物性质实际上是一种知识或人们对事物内在规律的认识1	认知是汉语词汇拼音是rnzh认知是一种意识活动是个体认识客观世界的信息加工过程和结果对事物概念的判断和对某个范围内事物规律的总结这些总结对客观世界反映的程度代表对这个范围内事物认知的高低习惯上将认知与情感意志相对应感觉知觉记忆想象思维等是认知的载体和工具通过这些载体和工具实现认知的过程产生认知的结果个体认知的表达使得个体和环境产生相互作用
繁殖力表示动物生殖机能的强弱和生育后代的能力亦称生殖力由一系列生理现象和许多性能指标构成母畜为性成熟的时期发情周期的频率次数和季节性排卵数卵子受精率受胎率和每次受胎配种次数妊娠的建立和维持胚胎成活率妊娠持续期分娩情况产仔率分娩率每胎产仔数哺乳期长短哺育仔畜的能力产仔至再次繁殖的能力由于雌畜所产卵粒不是都能孵化那些能够孵化的卵粒数占其总卵粒数的百分比称为繁殖力决定仔畜孵化率的大小与多种因素有关如卵是否受精湿度是否合适其中温度的高低能直接影响其孵化率由无融合生殖形成的种子与果实12散布体产量及大小散布体产量是指每个母体在绝对单位时间年内产生的散布体数量多少散布体产量有时也被称为繁殖力	鸡蛋又名鸡卵鸡子是母鸡所产的卵鸡蛋里含量最高的是蛋白质蛋白质受热容易变性8鸡蛋含蛋白质多会加重胃肠负担72021年6月9日以色列文物管理局宣布在特拉维夫市附近发现一枚约1000年前的鸡蛋9
秘书Secretary可以指1政党之内的要职最高者称为总书记2写字楼及商业机构内的文员职位专长是速记打字安排日程会议订机票订酒店等3香港决策局的最高级公务员职位美国联邦政府的部长英文名称亦为总统的部会秘书如国务卿为SecretaryofState陆军部长为SecretaryofArmy平时称为部长先生MrSecretary	上议院HouseofLords是某些国家两院制议会的组成部分上议院有权否决下议院所通过的法案议员由间接选举产生或由国家元首指定任期比下议院议员长有的终身任职也有世袭上议院名称各国叫法不一如英国叫贵族院1美国日本叫参议院俄罗斯叫联邦委员会等2上议院法官必须有任高级司法官员两年的经历或已经从事高级出庭律师工作15年的经历1人数共十二名他们是带薪的通常从上诉法官中任命偶尔也从高等法院法官中任命上议院审理案件只涉及法律问题不涉及事实问题同时案件必须具有广泛的公众重要性
石油是清华大学出版社暨南大学出版社出版的图书作者是李德生著1	股票是2004年科学出版社出版的图书作者是日杉村富生1
美洲豹学名PantheraoncaLinnaeus1758又叫美洲虎是现存第三大的猫科动物体重35150千克最大亚种雄性亚马孙美洲豹平均体重为98千克咬力可达1250磅是生活在中南美洲的一种大型猫科动物它身上的花纹比较像豹但整个身体的形状又更接近于虎在猫科动物中美洲豹的体型仅次于狮虎野外寿命约18年人工饲养的历史达20多年列入世界自然保护联盟濒危物种红色名录IUCN2021年近危NT	猫属于猫科动物是全世界家庭中较为广泛的宠物家猫的祖先据推测是古埃及时期的沙漠猫波斯的波斯猫已经被人类驯化了3500年但未像狗一样完全地被驯化一般的猫头圆颜面部短前肢五指后肢四趾趾端具锐利而弯曲的爪爪能伸缩具有夜视性以伏击的方式猎捕其它动物大多能攀援上树猫的趾底有脂肪质肉垫以免在行走时发出声响捕猎时也不会惊跑鼠行进时爪子处于收缩状态防止爪被磨钝在捕鼠和攀岩时会伸出来
家庭family是一种以血缘为基础具有情感纽带的社会单元以共同的住处经济合作和繁衍后代为特征如今家庭的类型越来越丰富除了以异性恋血亲制度为特点的传统家庭还出现了如收养家庭寄养家庭单亲家庭同性家庭等多元的家庭形态在功能主义观点下家庭起到了经济生产再生产社会化和儿童抚养的功能在女性主义观点下家庭是性别不平等的高发领域之一这体现为家庭中劳动分工的不平等及家庭暴力高发等现象根据现有研究中国当代家庭变化的趋势是规模变小代数变少主要家庭模式趋于稳定但家庭形式更为多样家庭关系既亲密又疏远由于家庭观念的悠久传承和结构性因素的制约传统家庭的形式仍占据主导地位生养教化功能仍多由家庭承担尊重不同的家庭类型以及认识家庭养育和婚姻中的责任是全面性教育中的重要内容联合国国际性教育技术指导纲要修订版中提到儿童青少年应当了解不同类型的家庭并给予尊重了解爱与协作的重要性同时了解家庭成员之间不同的需求和角色以及在家庭成员的责任和角色分配上存在社会性别不平等	计划管理学术语拆解开计划的两个汉字来看计的表意是计算划的表意是分割计划从属于目标达成而存在计划的表意定义计划是分析计算如何达成目标并将目标分解成子目标的过程及结论在管理学中计划具有两重含义其一是计划工作是指根据对组织外部环境与内部条件的分析提出在未来一定时期内要达到的组织目标以及实现目标的方案途径其二是计划形式是指用文字和指标等形式所表述的组织以及组织内不同部门和不同成员在未来一定时期内关于行动方向内容和方式安排的管理文件
